,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),5.080674417272544e-108,0.0,7.648328693944615e-180,0.0,3.6535235374623206e-79,6.0284558526723934e-96,7.035237364899379e-91,3.942124331962345e-287,1.2589282286668696e-275,1.5837227732839528e-125,4.727904342759947e-283,2.0142049280175273e-271,0.0,1.0178233345682427e-297,0.0,0.0008384155845664497,0.006321816701020771,4.586285078204346e-60,9.149219751431747e-85,1.6711107060340658e-42,3.044253458796939e-70,9.202685057229997e-216,0.0,7.433039664382078e-255,2.086175551019654e-215
Steel (chromium),4.0341096817574557e-79,1.066383953772624e-253,8.769946259150861e-148,9.011369548799296e-254,1.9994501504274244e-68,1.2984300662771596e-70,5.979714477643596e-67,6.35973365558307e-232,1.9541860488339743e-217,2.5328240338154465e-94,1.7038462063422028e-220,3.541710658234641e-211,0.0,1.8463480702982412e-265,0.0,2.165771904999773e-05,0.00026582189340847075,1.0258174574653245e-66,4.666395889884659e-82,5.588352783539025e-39,4.184502606041881e-72,7.104810681940098e-162,0.0,1.0356558761074505e-198,3.314521612713001e-166
Cast iron,6.342473809816131e-94,3.154637123386628e-271,4.815486140817581e-158,2.7982018922565965e-271,8.526280188455005e-75,7.338001116937454e-85,6.818380760131038e-81,7.651879727976262e-248,9.69315728325063e-235,7.851954239322122e-108,9.928303734726739e-237,5.550359660089071e-227,0.0,2.549267029169297e-282,0.0,0.009945423009610103,0.04783031141629183,2.3795622905455518e-54,1.8792274209572473e-92,1.625139437890597e-46,2.267393316280424e-59,4.597907574009555e-183,0.0,1.4651548157576354e-213,6.87608261204682e-179
Aluminium,4.0565977206570084e-35,1.3472934965804465e-144,1.077289495653889e-72,1.2063381397243824e-144,1.2654383426390735e-31,1.3829893850916819e-31,1.919388432079001e-29,1.40442419885759e-137,3.84380234171343e-125,4.603380849651324e-42,3.698067223939156e-122,5.762230915036262e-119,1.8083291341923826e-216,7.863142044207125e-176,4.3757021218491714e-268,2.560539986009491e-18,4.2518560236163164e-16,2.480461279654547e-104,1.6418161003864662e-67,1.731524368653405e-18,1.7341208073465806e-106,1.9550198309008648e-95,1.7596826751913918e-215,5.020679755085581e-112,3.380738825932961e-81
Copper,4.94867583568002e-169,1.5016843145838305e-68,3.722853233907851e-35,1.7833822966369178e-68,2.0684029224198894e-55,2.5782803752003216e-183,6.754952825056716e-188,9.59905402321388e-95,5.723858248450836e-94,3.885228994638537e-118,3.614475858368121e-92,3.461274402961983e-116,1.6354675851744696e-106,7.86725024470737e-158,1.4357559733259185e-16,7.887599345981083e-182,1.4329088728247214e-184,2.408617817554492e-111,7.5085692516862264e-65,6.363363100570765e-80,7.430015632122991e-128,4.5496096232979945e-144,7.111746460670939e-41,3.023172069542662e-112,9.836717298837129e-67
Fiberglass,8.91309409717584e-131,0.0,1.3230774810783475e-197,0.0,3.237981442761933e-97,8.379161809072293e-118,1.5772161670708642e-112,7.197591099448034e-305,5.044117609041619e-308,1.941832420934958e-138,5.268031015590113e-299,2.3499034309257282e-289,0.0,0.0,0.0,0.7626556241143567,0.7558909533536725,2.0871857963258075e-40,1.479699986272821e-122,3.157572548062173e-66,1.8731414338118674e-45,1.11155978891772e-238,0.0,4.774405035844883e-273,2.4320607206932733e-243
HDPE,1.6106935815018991e-65,0.10175947774307145,0.03635322939012393,0.10364633083270221,5.3852454746601776e-05,1.6944338782865566e-77,8.552663265759352e-85,0.6721759940841403,0.12559749226567063,2.533903160987671e-34,0.03445888387000146,2.2964171898013174e-05,0.00023700372260014406,0.10787323094335056,3.704825862583621e-60,0.0,0.0,0.0,0.13853799971286437,1.8921522187749778e-19,0.0,8.529594825884948e-19,8.459707871002539e-27,5.22612064694438e-05,0.012465462920525404
PVC,1.6106935815018991e-65,0.10175947774307145,0.03635322939012393,0.10364633083270221,5.3852454746601776e-05,1.6944338782865566e-77,8.552663265759352e-85,0.6721759940841403,0.12559749226567063,2.533903160987671e-34,0.03445888387000146,2.2964171898013174e-05,0.00023700372260014406,0.10787323094335056,3.704825862583621e-60,0.0,0.0,0.0,0.13853799971286437,1.8921522187749778e-19,0.0,8.529594825884948e-19,8.459707871002539e-27,5.22612064694438e-05,0.012465462920525404
PP,1.6106935815018991e-65,0.10175947774307145,0.03635322939012393,0.10364633083270221,5.3852454746601776e-05,1.6944338782865566e-77,8.552663265759352e-85,0.6721759940841403,0.12559749226567063,2.533903160987671e-34,0.03445888387000146,2.2964171898013174e-05,0.00023700372260014406,0.10787323094335056,3.704825862583621e-60,0.0,0.0,0.0,0.13853799971286437,1.8921522187749778e-19,0.0,8.529594825884948e-19,8.459707871002539e-27,5.22612064694438e-05,0.012465462920525404
Epoxy resin,5.270698259771574e-118,0.0,1.4131726663308389e-187,0.0,1.5919017678972612e-84,2.3509734607282592e-105,5.280484797037034e-100,1.8612677131864517e-301,4.080258563980268e-291,4.453868296123315e-134,1.501510649787243e-301,5.555457306608297e-290,0.0,3.140442528672219e-308,0.0,0.033714587961427,0.12504030266528054,1.965527702085822e-51,1.7910581774244646e-85,2.8985148127707137e-44,4.0834885422843396e-61,4.135251165802199e-229,0.0,1.7138195774675528e-271,3.1281871888949626e-232
Lead,0.04073507321510155,0.005679326563269867,0.46268156828536255,0.00535790959028792,9.098023305855816e-11,0.4064948146283982,0.3806526887380392,0.0247658030571541,0.0017373218199288425,0.5469503274128704,0.021382639244604696,0.21092309334753082,0.17813577425075544,1.690567916029581e-05,0.04971661455748391,0.0476704827667908,0.052293722181939936,0.006236399577812418,0.005643437094030199,1.0758310897536357e-13,0.08408210602858351,0.6608341211795314,0.0015468144977656192,0.6351163489657174,4.954180779728395e-05
Tin,0.04073507321510155,0.005679326563269867,0.46268156828536255,0.00535790959028792,9.098023305855816e-11,0.4064948146283982,0.3806526887380392,0.0247658030571541,0.0017373218199288425,0.5469503274128704,0.021382639244604696,0.21092309334753082,0.17813577425075544,1.690567916029581e-05,0.04971661455748391,0.0476704827667908,0.052293722181939936,0.006236399577812418,0.005643437094030199,1.0758310897536357e-13,0.08408210602858351,0.6608341211795314,0.0015468144977656192,0.6351163489657174,4.954180779728395e-05
Lubricating oil,4.0565977206570084e-35,1.3472934965804465e-144,1.077289495653889e-72,1.2063381397243824e-144,1.2654383426390735e-31,1.3829893850916819e-31,1.919388432079001e-29,1.40442419885759e-137,3.84380234171343e-125,4.603380849651324e-42,3.698067223939156e-122,5.762230915036262e-119,1.8083291341923826e-216,7.863142044207125e-176,4.3757021218491714e-268,2.560539986009491e-18,4.2518560236163164e-16,2.480461279654547e-104,1.6418161003864662e-67,1.731524368653405e-18,1.7341208073465806e-106,1.9550198309008648e-95,1.7596826751913918e-215,5.020679755085581e-112,3.380738825932961e-81
Rubber,2.523695089550003e-35,4.128580061249637e-145,3.996732269887392e-73,3.7226424007918015e-145,2.062720809216245e-32,7.397901946661946e-32,1.0696265382154605e-29,3.809822484427506e-138,1.4959823225760959e-125,2.084590482581319e-42,1.1221389895999851e-122,1.1967829260711331e-119,3.795968482609923e-218,7.254816595013648e-178,4.8203434076411386e-269,2.3257383080230443e-18,3.9285160514796937e-16,8.38681404223687e-105,7.292806234009227e-68,4.2348629220546515e-19,7.652037949684105e-107,3.5743100923630885e-96,5.164713153321809e-216,8.406216359928553e-113,2.538168699237673e-81
Grout (cement),2.504487835190254e-36,2.1296232338945844e-136,5.856877124077788e-80,2.416398095213438e-136,2.293410762868582e-17,3.6505575434123966e-30,1.1075134817121943e-28,1.1991754896922145e-96,1.1694360236113593e-109,2.3458848879003507e-51,5.069706509807515e-95,1.5808631506150199e-83,4.98887515240408e-133,5.703017103518276e-95,4.923701066379221e-201,8.331760477415063e-05,0.0005842741556648879,9.236039776199985e-44,7.333392190622388e-53,7.004058747013776e-07,4.844523903024539e-52,1.937892354852302e-70,1.22517953287778e-158,1.0035555416909714e-80,7.32845634322696e-66
