,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),0.33406213789747385,0.5471564573613779,0.42430649107605417,0.5472713831189013,0.28730089360144334,0.3155171566109952,0.30732422483260824,0.522137307191067,0.5130496544221858,0.35886268412657346,0.5189466984939075,0.509658629993461,0.5864845380600698,0.5302637406276666,0.6633957938011947,-0.051999967583304524,-0.04252459204186399,-0.25061378158567055,0.2970745458261083,0.2104970623510279,-0.2708765941802841,0.46073162837979814,0.5976255857509571,0.49590955942954845,0.4603921099356991
Steel (chromium),0.28722428063537986,0.49492564676546125,0.3875013671587589,0.49498793945333197,0.26738666443743137,0.271580890714401,0.26451387145282007,0.47577617371628883,0.4623245129843635,0.31292054315262563,0.4652159232783428,0.4563218747894797,0.5541163893566464,0.5047827911583574,0.6090388471917316,-0.06609866372495184,-0.056768219366830595,-0.26405430458911083,0.2923982914149123,0.20138821178302552,-0.2743988894844142,0.4042536976251594,0.5592188044830366,0.4439938689753669,0.409214327850795
Cast iron,0.31227889026228967,0.509500533554181,0.39979426352211184,0.5095427912345317,0.2793990587994594,0.29723841497014847,0.29035930924525544,0.4898947070387219,0.4783232093884612,0.33378153957986456,0.48010922958903063,0.47125594384428143,0.5667137051494552,0.5183706952170563,0.6212260201334487,-0.04014565672753947,-0.030824245604815205,-0.23837788975978855,0.3098961407725087,0.22037316115993602,-0.24916366980240612,0.4277611582422878,0.5731428812719968,0.45862205745613815,0.42327572895490395
Aluminium,0.19087308045586004,0.38357428130108695,0.27550294256441515,0.38363383074002944,0.1807955921927316,0.18068101008321447,0.1741934445838661,0.3747296291364631,0.35834056668055747,0.20938298698307056,0.35426206944046484,0.3498294828142383,0.4614054796358258,0.41994611978260576,0.5069394803331755,-0.13538053279934448,-0.12617991824970606,-0.3285335280699251,0.2656108238430301,0.1360587341193036,-0.3317780889559319,0.31470270946539497,0.4604627478268172,0.33993877734767347,0.2908943079722048
Copper,0.4124061859304431,0.26762708062672397,0.19097758434490875,0.2674827317859044,0.24070181363189222,0.4280289246221386,0.4328702268676511,0.313597040333734,0.3123507068923055,0.34866696535617825,0.30943367662645566,0.34591250570783666,0.3318161444701244,0.399544094467805,0.12818944117119802,0.4264419934160121,0.4293630342238224,0.33894856086266223,0.2603655836210182,0.2886481979559388,0.361999344651023,0.3829176869379098,0.20634067869619085,0.34025832930003314,0.2640900610441581
Fiberglass,0.36588456038273165,0.56077531671414,0.4428747575706573,0.5609147295608969,0.3175304304935955,0.3481974009100842,0.3406676570746516,0.5356290197910526,0.537965444446372,0.37582746965199965,0.5312358563096541,0.5238632334449878,0.6101121380508151,0.5593351212459403,0.6636450823939041,-0.004705172673336526,0.004843615130448722,-0.2051308214606333,0.35480940957913554,0.26309398192885997,-0.21780714103888266,0.48185031274077317,0.6183104814720597,0.5109740550147275,0.4859686545820118
HDPE,0.26169505934790716,-0.02549130694349399,-0.032600334647591885,-0.02535184658785727,0.06285514134437054,0.2843167994454957,0.2971246429609108,0.006592971512894971,0.023860990367117692,0.18862846203560243,0.03293825369169312,0.06589450367738948,-0.057225090898560003,0.025046597517600213,-0.2508067312583305,0.5842714802185387,0.5790310635106286,0.6735180824586304,0.023075464204738553,0.13983383223801957,0.6965174394034287,0.13727755113817985,-0.16581950877014123,0.06296437382701166,0.03891570767556917
PVC,0.26169505934790716,-0.02549130694349399,-0.032600334647591885,-0.02535184658785727,0.06285514134437054,0.2843167994454957,0.2971246429609108,0.006592971512894971,0.023860990367117692,0.18862846203560243,0.03293825369169312,0.06589450367738948,-0.057225090898560003,0.025046597517600213,-0.2508067312583305,0.5842714802185387,0.5790310635106286,0.6735180824586304,0.023075464204738553,0.13983383223801957,0.6965174394034287,0.13727755113817985,-0.16581950877014123,0.06296437382701166,0.03891570767556917
PP,0.26169505934790716,-0.02549130694349399,-0.032600334647591885,-0.02535184658785727,0.06285514134437054,0.2843167994454957,0.2971246429609108,0.006592971512894971,0.023860990367117692,0.18862846203560243,0.03293825369169312,0.06589450367738948,-0.057225090898560003,0.025046597517600213,-0.2508067312583305,0.5842714802185387,0.5790310635106286,0.6735180824586304,0.023075464204738553,0.13983383223801957,0.6965174394034287,0.13727755113817985,-0.16581950877014123,0.06296437382701166,0.03891570767556917
Epoxy resin,0.34848073000811897,0.557556140507828,0.4325340505516345,0.5576772679176393,0.29666266032774585,0.3300787902172174,0.3218959595161879,0.533080469757653,0.5252219017894464,0.3702117934378763,0.5331504228875397,0.5243473515369238,0.5935636209637288,0.5381172365532928,0.6705459922626584,-0.03307537626725243,-0.023896199431933395,-0.23185431726415448,0.2982834658228748,0.2148922323762334,-0.2527906358603661,0.4732109491467878,0.6038835747658585,0.5097155195103829,0.47605584534820405
Lead,0.031872709519182106,0.04307130150511299,0.011442447422810458,0.043366071813428955,-0.10072301435156363,0.012932377344843855,0.013658584195331358,0.034967797756499684,0.04876572791576223,0.009384414724749936,0.035841389761145176,0.01948967683983617,-0.020976927031793973,-0.06695573566893258,0.03056768097236508,0.03084637290022744,0.030230034982839528,0.042594309551656266,0.043103458266020196,-0.11539453651547164,0.026909849419171575,0.006835991422854679,0.04929363474065535,0.007393375278579404,0.06315855815180789
Tin,0.031872709519182106,0.04307130150511299,0.011442447422810458,0.043366071813428955,-0.10072301435156363,0.012932377344843855,0.013658584195331358,0.034967797756499684,0.04876572791576223,0.009384414724749936,0.035841389761145176,0.01948967683983617,-0.020976927031793973,-0.06695573566893258,0.03056768097236508,0.03084637290022744,0.030230034982839528,0.042594309551656266,0.043103458266020196,-0.11539453651547164,0.026909849419171575,0.006835991422854679,0.04929363474065535,0.007393375278579404,0.06315855815180789
Lubricating oil,0.19087308045586004,0.38357428130108695,0.27550294256441515,0.38363383074002944,0.1807955921927316,0.18068101008321447,0.1741934445838661,0.3747296291364631,0.35834056668055747,0.20938298698307056,0.35426206944046484,0.3498294828142383,0.4614054796358258,0.41994611978260576,0.5069394803331755,-0.13538053279934448,-0.12617991824970606,-0.3285335280699251,0.2656108238430301,0.1360587341193036,-0.3317780889559319,0.31470270946539497,0.4604627478268172,0.33993877734767347,0.2908943079722048
Rubber,0.19145004127583787,0.384210984471877,0.2763064787261355,0.3842666335835626,0.18311896101991854,0.18148640942284758,0.17497560470742538,0.3754539970728386,0.35889621179117703,0.2102545361535817,0.35497448104990353,0.35078318297834915,0.46299954198277227,0.42216582829346727,0.5077226197475353,-0.1355475874635505,-0.12632740253085162,-0.3292458035888084,0.2662968689596123,0.13847214999829258,-0.3323091465718828,0.31587819795088834,0.4609710306181769,0.34106295267881503,0.29111258038707427
Grout (cement),0.1942323899929847,0.3732140335665115,0.28871195252458365,0.3731434140716639,0.1315143757065275,0.1764041903412732,0.17182649205144995,0.3166309202693865,0.33648097192582516,0.23167974769870703,0.31404117917991536,0.2949481577815787,0.36884365643341277,0.31395934089593164,0.4463299717659596,-0.06124576634404134,-0.05353952307747941,-0.21364593767336512,0.2350733764939126,0.07718280066703005,-0.23323125447064885,0.27125016837539767,0.4004906999304011,0.2900640504259348,0.2623721985612557
