,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),0.09732258937877998,0.15768581990668154,0.3483914381142298,0.18452927720761322,0.3858960892949646,0.12456449874994738,0.08899896998127144,0.1438210193291038,0.1876338944519319,0.1886284229702533,0.19431260410717577,0.1266707136416777,0.24212147447908047,0.18320002266404198,0.25812000291154763,0.09341496736397766,0.12110333204153836,0.15664898094121885,0.10377458938997264,0.28524564549092346,0.04519147747734962,0.0811661660518179,0.2133061781814204,0.14705944023437245,0.24071093441421107
Steel (chromium),0.09496375556819243,0.09363672828399308,0.06990063440854495,0.06944346870024362,0.07062612791943934,0.06765703774145358,0.10366074573609467,0.06260485649994073,0.07970286977777853,0.08238456734595823,0.053424900474402744,0.1101383653565987,0.09106860272494689,0.08485634004286352,0.053347378005716276,0.07630339732431218,0.06830748541678551,0.05949785985456186,0.0410029772797272,0.06728848379911065,0.024407442353895005,0.07694545418969038,0.06907898094392431,0.08745970601258522,0.055832113257608486
Cast iron,0.05431251268178609,0.09778613272759679,0.07178617966170776,0.0663109527395688,0.061711992132162274,0.044946522615347276,0.08520796599900739,0.08003099879751789,0.08380590699150571,0.1062784608070026,0.059819819775554665,0.08070648451642598,0.08815298002748699,0.0627445882784464,0.039081151446823024,0.05784024038170384,0.05959439289341947,0.035534559379651935,0.02996390307650736,0.10103719773091371,0.022016554033625686,0.04576114067695736,0.06915348491381537,0.07619423396979727,0.0552120228955529
Aluminium,0.068941520384331,0.06545927214234908,0.015316821157024358,0.058543414884105624,0.0894920934916915,0.09019848115438468,0.05509286813954825,0.06250529869823906,0.05093443635849741,0.038667397199684504,0.053541528579457015,0.049505676073237186,0.0356345157534762,0.07935274181251181,0.04661626572339875,0.047053473309345235,0.05375649290103472,0.035650954094719155,0.04320105821122552,0.08022933442686536,0.035834297126548426,0.06997134388746398,0.05031724898683435,0.04067299494172982,0.055604338955145875
Copper,0.006857801027434792,0.009298947659189127,0.07481366283254445,0.00896713902723189,0.008937829950325401,0.00782311337356892,0.010623780655820644,0.005466177848969078,0.0056692871965997,0.017536308151306246,0.0042254846392252,0.005573886597397429,0.017404301547217903,0.005450246026231261,0.01874196335190065,0.012522147880022113,0.01843815625073283,0.010833206712664004,0.058369420527691604,0.018681159681335147,0.016577462995655278,0.013826304682542579,0.013350154100573422,0.006214824428925832,0.004693467526509446
Fiberglass,0.024242157988909645,0.013629031788001286,0.06124508988913082,0.01299133060382788,0.038814313904719,0.02258547421454371,0.022690950115132003,0.02429779572974612,0.0232158359135618,0.01963696231338113,0.030783400053204478,0.017239437462667363,0.025490394290851166,0.029083307738527298,0.01662427243593684,0.024267900812944308,0.02665545035902944,0.014137867835205698,0.012409146307870489,0.0773882601597716,0.026236342174140823,0.01023293629282862,0.02093651768862444,0.02384684480964735,0.02554265894748958
HDPE,0.0011441251711888478,0.0008541406127699232,0.002475941211393821,0.0007235769785601957,0.0007465229422029947,0.0016680331948548306,0.0018803428873419496,0.0004974769026683701,0.0008320773445751255,0.010944550184617522,0.0006577611875256443,0.0003567577635178158,0.0003700034110790007,0.0010810411402791967,0.0006205987616707912,0.02530930242535553,0.026323778126658374,0.03995656101701525,0.0025623565376136598,0.0023425481515324826,0.040773924775797984,0.0010610908064090892,0.000365449747197936,0.0007744772598588412,0.0009139161085247667
PVC,0.0010387037524631178,0.000812657668385941,0.0016295928193316156,0.0009351667297399076,0.0005737963447332462,0.0016220563594775417,0.001560809104019234,0.0005437743098577697,0.0007728786244899884,0.013028249348116083,0.0004993132700435629,0.0003381855492544735,0.00034985537779526067,0.0006685959114611192,0.0007665219250405419,0.025418824001286536,0.027219825657587775,0.040069047286635746,0.003051208016491051,0.0013685010296431135,0.03344664555674392,0.0009679931007147073,0.0003736926571595781,0.0008843557088137333,0.000925048563127806
PP,0.0012782924434440992,0.0008090566167072488,0.002498491154656472,0.000792124300371048,0.0005466548929773236,0.002128825606855152,0.0018184486020646077,0.000546830261530129,0.0007320094998385743,0.00837795895503859,0.0006818813842435878,0.0004763565938100234,0.00038480730086910185,0.0008465719410059321,0.0007465606567012747,0.026302813371644345,0.0243064111910477,0.04567428553434475,0.00482115471265534,0.0029211954240028573,0.04162642909373604,0.0009666452983657129,0.000312133096241333,0.0006829264259953672,0.0007065563661966979
Epoxy resin,0.018242052580556674,0.008813908760530105,0.2977514301280755,0.006478341151194996,0.011020993517370426,0.02959003107308434,0.02983946055337984,0.019870787721807556,0.018619559687473242,0.0322856513195696,0.019560973922389143,0.03629945363280435,0.015447024958799275,0.013446164086290676,0.01584495178037276,0.015032557684290999,0.013884694169889526,0.014166301012170809,0.48959807141213846,0.016830470766201314,0.362774566324536,0.05527108151394795,0.012530540905432359,0.019497170997469556,0.008096466603411567
