,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),5.0296510868335226e-17,1.699706790798573e-16,1.5897554307373793e-16,4.604320062828776e-16,3.2723164767810836e-15,1.374936411938717e-17,3.8256043070922995e-17,4.708057790328685e-19,8.52455006680108e-17,1.1836927771851094e-16,3.4882577294606146e-16,1.1536689296752412e-18,1.622114536985294e-17,1.362137572072832e-19,1.0039368905847225e-15,4.594860606164839e-16,7.2182218153234e-15,7.41985734105588e-16,3.230528124676668e-17,1.9994451977829657e-17,1.955962738492661e-16,1.3191374377615776e-15,6.305663908314316e-17,1.0320373155507704e-16,3.3604170388181424e-16
Steel (chromium),2.992260970504264e-14,1.9981874485465538e-14,6.934022875301037e-14,1.510112876798811e-14,6.619387616356428e-16,1.930698645020342e-14,1.3655476002457208e-14,2.053651883561614e-15,3.7605202369710154e-14,1.6395138713694492e-14,3.129975985236821e-14,9.885352086999984e-15,6.847016063256063e-14,7.52374913735366e-15,2.777072562669216e-14,6.4652572790994326e-15,7.540013745264955e-15,2.219806032712303e-15,4.7958171460196164e-17,6.537891756584959e-18,1.3506058917406468e-18,1.6622513874307366e-14,3.7467830526071505e-14,1.7856938604303758e-14,4.93559560568811e-14
Cast iron,3.2128368876953004e-14,1.250313234583204e-14,9.025895270722204e-14,1.3555166540412095e-14,8.160728206158697e-16,1.7849710463257948e-14,1.1015498669075585e-14,4.270797118311594e-15,2.4445512080198938e-14,2.080062508178138e-14,2.6530028849604716e-15,4.243076895420953e-14,2.27119482471391e-15,6.803073540210474e-15,1.8906504423056438e-14,4.23502891002998e-15,5.936898890950225e-16,2.1657616034957137e-15,8.27302297358546e-18,1.5045103658022856e-18,1.1784103999781769e-17,2.9978560345511745e-14,1.7738553288348856e-14,7.304718420817243e-15,5.3092514132771834e-14
Aluminium,3.3807361918098505e-15,2.5877822226944803e-14,9.005095753795721e-14,2.961081194650355e-15,9.764679433114657e-17,3.522823810471979e-15,1.2252620603856798e-15,9.336025178362549e-16,2.836699423958456e-15,5.843412555083643e-14,3.140445093614908e-15,7.186285384395749e-16,1.179274589746086e-15,2.5565763639319076e-16,2.871575402290623e-14,5.665966827151888e-16,6.436681121027988e-16,1.0841155556224783e-16,1.305834720962636e-16,7.637696263660914e-19,1.7020528608732194e-18,6.991071362099681e-15,3.946542165792269e-15,1.7939871645822215e-16,2.1811505399849894e-15
Copper,2.1955749220674224e-17,6.771226973791815e-17,7.310282607400777e-14,1.7213774402428796e-16,5.974941015365988e-14,2.665972062382826e-18,1.0394484080914457e-17,2.09069344174317e-16,6.245298721690405e-18,1.3564041575089808e-16,2.1714969368769132e-16,3.5695595988093074e-16,3.354368398830744e-14,2.897425223544328e-16,4.3223269631950505e-11,4.4435850261732014e-17,3.706909201115677e-17,9.156448309232556e-17,4.173197623195763e-16,5.49346536653992e-15,5.452593789167073e-18,7.743345014196073e-15,5.649846479371118e-14,3.0802795990195254e-17,8.344549223095961e-17
Fiberglass,1.8664057684708108e-16,4.186015725915005e-16,1.2054023239300185e-15,8.161992596381589e-16,1.2833844814830355e-18,4.0533754646626193e-17,5.62802169793047e-17,3.6841327872865325e-17,2.2704737951635313e-14,3.193180349018445e-14,2.6135233782687824e-16,8.732692566248083e-16,1.4470137331042037e-17,4.1720677095768134e-17,8.999794141033935e-18,5.3121956900506545e-18,5.78848380030379e-18,3.509634089064579e-17,3.937674177682469e-16,1.1176241826550944e-19,2.7985314763138568e-18,2.881973644761846e-17,3.037693622448113e-17,5.1832945479281683e-17,3.1090321139354465e-14
HDPE,2.9475591858780007e-13,9.859883134754935e-08,5.87288488121588e-11,1.208270603167403e-07,0.0012827632520913412,4.393073483544188e-15,1.698020662154931e-15,5.640534606493942e-08,1.5160398900796974e-09,2.5107775126435706e-16,2.691606602222193e-09,8.573449738887347e-10,4.1236403384447066e-07,6.082759595618563e-09,2.4706346820074943e-12,1.7836025472507826e-15,3.136189690979395e-15,6.962988280864174e-17,8.531601012322661e-13,2.963284874655695e-08,1.255311795556922e-14,8.54621874075449e-08,4.790516746924042e-06,7.113240103990458e-10,2.2319422730069215e-09
PVC,1.1656471513448367e-12,1.3748237026226494e-08,2.6388143792741768e-11,3.5797114548794035e-09,0.0003664778244335827,2.9885561425300348e-15,1.4605014110666229e-15,5.5827084799246844e-08,1.7988396709183894e-09,1.1024233051437698e-16,3.974893828589265e-10,2.621602610412135e-09,1.8957869966835863e-05,9.666740730930146e-09,7.107008977311004e-10,1.7854942638586983e-15,1.4090472808411091e-15,1.144128659859807e-16,2.7456172399640573e-13,7.022092690571188e-07,2.1874338209523336e-15,5.7185398280748925e-08,4.315526461613767e-06,9.637304858132225e-10,2.3873710505015575e-08
PP,2.0949416516387842e-12,1.1578309062990793e-08,3.517127241602811e-11,1.4028635227750262e-08,0.0011638331511859138,4.427518294513893e-15,9.539616654587967e-16,1.771137637014556e-07,6.299873202669876e-10,1.7639613768520617e-16,1.1284962153731238e-09,7.044162421884147e-10,6.812925724896336e-07,2.005187970927778e-09,2.4423500459682753e-09,1.0800500266879344e-15,3.090808314196869e-15,3.0241673262219203e-16,3.9118188428187865e-13,1.0114869018540989e-07,5.012526864011546e-16,1.6021365485284554e-08,5.840901468228737e-06,6.013057508610897e-10,3.188135330841485e-08
Epoxy resin,8.151696056944846e-18,7.5218435616930245e-19,3.818622819771268e-16,1.5932800978665665e-18,8.620942812318933e-18,3.360480181674494e-15,4.507865565200846e-15,3.438943345790415e-18,1.319208315340718e-18,1.7297945936510354e-16,8.207749012199126e-20,1.9609809693671272e-21,1.7846074611638934e-18,3.758787114259489e-18,2.1578160339502196e-17,8.77881996168125e-16,1.291048290509583e-15,1.902173146991767e-17,4.7631803140371114e-17,8.028243334963755e-19,3.472868149955762e-16,1.4671958312282156e-17,5.030670530491802e-17,1.6999290267839409e-18,5.058951818515025e-19
Lead,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Tin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lubricating oil,1.7028280880073643e-14,6.4325601192471046e-15,1.064975423017928e-13,1.1480231171700036e-14,1.0178252432715439e-16,9.02550637710182e-15,2.7816794878220315e-15,2.9195573747597707e-15,1.2644683714446381e-15,4.444559508480843e-14,9.86044465610453e-16,9.94106708098669e-16,6.764569099234542e-17,2.1760434983530966e-15,2.8201462806685444e-15,5.165279278961603e-16,3.9415461890444813e-16,8.931003818221267e-16,2.957949369798112e-17,3.710285263491669e-18,6.578415999861472e-18,8.613601101300694e-16,2.4121154878102666e-14,2.0201622769216998e-16,6.3988519045360984e-15
Rubber,1.8517389597018616e-15,2.375930589038221e-15,4.6451888335228e-14,1.1507480659963418e-14,5.051531592634466e-16,1.003623629585778e-14,1.0191957339054324e-14,1.4006653347277923e-15,2.876520926312077e-15,5.62162808573747e-14,9.422194512563196e-16,9.071381032935411e-16,3.1192827121875495e-15,1.4524050803600838e-15,2.2722237538215058e-14,2.175495499462403e-15,5.739890182525267e-16,4.655715258564331e-17,6.788851521459492e-17,3.2489968785345325e-18,3.528292853573443e-18,1.5499179731235585e-14,9.680867279976829e-15,2.1540610894647152e-15,8.70662505814492e-15
