,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),4.607593136705356e-85,3.4276509791803774e-98,5.956716742301293e-102,3.1489592956286804e-97,1.4345856473586057e-69,7.700787270824683e-109,1.3159535796805685e-112,9.286341108110647e-70,3.977041214938526e-82,4.4286769798595247e-190,1.8174453724484706e-68,4.524638949700853e-61,3.700373379359095e-104,2.214674587775656e-64,2.656537160213853e-181,4.170373138073257e-121,4.034880192619356e-121,1.963815093384643e-124,1.1780483303424292e-05,3.5401468231827295e-32,1.4660390964938754e-76,7.812616072241568e-70,2.7896908517905603e-111,9.412823478779765e-81,2.937771011222449e-107
Steel (chromium),4.392866336592224e-115,6.852935264639469e-132,3.333820229522544e-115,1.1221521633955716e-130,2.9907490239669157e-96,2.5848483768044107e-148,1.180293800056074e-153,1.107797726291236e-98,5.0774067899230805e-113,1.2014042118371008e-223,7.20130738667738e-95,4.302570538676348e-87,8.464487350228024e-150,2.4849566264948615e-95,1.4777373641753237e-261,6.046577216767495e-165,5.782824489088382e-165,1.0044361849801434e-169,2.0141513038046652e-11,4.402209881007836e-54,3.3680220772578656e-105,8.657841955075911e-99,8.206799184433533e-153,1.0664430767168886e-111,1.0910662089011266e-140
Cast iron,1.9813142048545754e-114,2.7793771831102074e-131,6.318309521938813e-115,4.485705088377939e-130,1.1105621252427005e-95,1.0770698924200451e-147,4.7726191515007824e-153,3.6501916615351306e-98,2.0429676280720424e-112,1.44992995001233e-222,2.4274250587870437e-94,1.4223357688755721e-86,3.4123624550429205e-149,9.777516484123656e-95,5.8215017842104795e-261,1.6461331823723678e-164,1.5852110525161565e-164,2.2640428955387743e-169,2.2342576979145835e-11,1.0540368514555534e-53,5.722722447158058e-105,2.251553861419959e-98,2.6781136113728067e-152,4.298310993529178e-111,4.684092064722993e-140
Aluminium,1.0899991112755882e-129,1.0796701425953838e-149,6.20703737696576e-123,2.1939446063641326e-148,6.180744934450046e-112,6.420042213460735e-165,1.4585988319872298e-170,2.0736226657807843e-111,6.010652484027752e-127,2.0447444565417551e-249,5.3834517893827006e-108,2.947724923775211e-98,1.3400697840536334e-167,1.3754443804839938e-107,4.230753214311268e-287,8.971873330278771e-182,7.32289742324656e-182,2.106809846307322e-184,1.6531554023080996e-13,1.1747284931458538e-60,8.301048397927025e-112,1.2678837074804781e-108,5.353434433693673e-172,7.136793891508017e-126,2.327780420400275e-159
Copper,3.9907277582526095e-51,1.3293487456204313e-82,1.3595393248643229e-99,8.702637772820891e-82,1.6938551529853402e-59,4.5879828509561877e-66,5.5788996283727e-68,3.9470121802538e-57,9.436410264642199e-63,2.0935457263577802e-138,1.0575203194282454e-54,1.544280316849149e-45,7.334987704696783e-92,5.179630861312822e-52,2.20336075620034e-181,1.7579758002148245e-64,9.658253246263377e-65,7.95018563159053e-61,0.011720215694121731,5.20320347928436e-19,9.60113024147361e-24,5.072679533657952e-47,7.454362577729458e-106,5.429722254169019e-61,2.5526383734450778e-84
Fiberglass,2.91344058690964e-69,3.883050447240735e-79,2.829569846701966e-121,3.2950595522884593e-78,8.803852292445579e-60,4.2218290427957274e-95,2.2164818106934554e-99,6.521207590221362e-56,3.2573787660735877e-65,1.3669782443324097e-176,5.477980165890069e-53,4.5253304733987464e-48,1.4068919562130646e-95,1.4691971092861467e-54,2.8654824308596043e-187,1.3194639328819465e-110,1.524035116942594e-110,1.4371113405217806e-116,2.1145135788480908e-07,1.9814807299422076e-30,5.769323004892026e-71,1.6057424270695038e-56,9.206043748022677e-96,3.4516704559194924e-65,6.954185631620143e-85
HDPE,8.120645185922903e-06,0.6594247061481933,0.06231591024452078,0.6733758582410169,0.01594208799820433,2.8285249044865345e-05,2.5142530894404197e-05,0.038792966981977796,0.22385396841503186,0.15493725329854457,0.016493168586274063,0.00035884890363822684,0.8902272442764435,0.04247164089377627,7.550007692482444e-05,2.1144430526082458e-09,3.178871993715722e-09,6.762049584023875e-15,0.03972671741229491,4.9623760095471416e-09,5.686795489500233e-48,0.01511960640013407,0.029743012986448675,0.021979626890658063,0.874421510876585
PVC,8.120645185922903e-06,0.6594247061481933,0.06231591024452078,0.6733758582410169,0.01594208799820433,2.8285249044865345e-05,2.5142530894404197e-05,0.038792966981977796,0.22385396841503186,0.15493725329854457,0.016493168586274063,0.00035884890363822684,0.8902272442764435,0.04247164089377627,7.550007692482444e-05,2.1144430526082458e-09,3.178871993715722e-09,6.762049584023875e-15,0.03972671741229491,4.9623760095471416e-09,5.686795489500233e-48,0.01511960640013407,0.029743012986448675,0.021979626890658063,0.874421510876585
PP,8.120645185922903e-06,0.6594247061481933,0.06231591024452078,0.6733758582410169,0.01594208799820433,2.8285249044865345e-05,2.5142530894404197e-05,0.038792966981977796,0.22385396841503186,0.15493725329854457,0.016493168586274063,0.00035884890363822684,0.8902272442764435,0.04247164089377627,7.550007692482444e-05,2.1144430526082458e-09,3.178871993715722e-09,6.762049584023875e-15,0.03972671741229491,4.9623760095471416e-09,5.686795489500233e-48,0.01511960640013407,0.029743012986448675,0.021979626890658063,0.874421510876585
Epoxy resin,1.91053484783709e-32,5.384841732171952e-41,1.3418081184734803e-94,2.1555492774671657e-40,3.810444227464135e-25,1.026801175484108e-49,1.6530923494656208e-52,1.3102357849849722e-23,5.197083989067087e-31,7.44821987512506e-134,6.023089654708243e-22,5.986363134231495e-18,1.607982015538313e-51,2.9779006246438763e-24,3.797721962323139e-106,1.386237813874883e-57,1.2537612309558944e-57,4.165831361649134e-59,0.7211464541998962,7.231368965956551e-07,5.130535176012732e-33,9.497784456370583e-26,4.478061214920086e-54,3.262755892637412e-30,4.885401063354778e-46
