,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),-0.5126951508846944,-0.5454456441356084,-0.5541971405672237,-0.543161542341391,-0.4688007054098381,-0.5695843983877352,-0.5776685900540776,-0.4693762143516713,-0.5048533609338864,-0.7061459455763148,-0.46541862534355266,-0.4416948033987871,-0.5592150055032523,-0.4525451729901856,-0.6944186791080997,-0.5951149261402604,-0.5951434899026905,-0.6016643007499366,-0.12333398010814497,-0.3245784452128867,-0.48940061146286506,-0.4696045756340621,-0.5748480817572923,-0.5011117753188096,-0.5661225979386715
Steel (chromium),-0.5828624845479308,-0.615812982207247,-0.5831113938347364,-0.6135575641172806,-0.5408250593830572,-0.6446281307861005,-0.6533703940711613,-0.5466021875581354,-0.578542545901056,-0.7461846614083357,-0.5374913113187205,-0.5179990051209384,-0.6470878808395532,-0.5386104646069916,-0.783840046763966,-0.6709431367855668,-0.6709722765144158,-0.6780339190156047,-0.18776894776265435,-0.41740594717014373,-0.561552373138476,-0.5468539831243138,-0.6520108087878459,-0.5757391439788273,-0.6316275776891693
Cast iron,-0.5814994960396832,-0.6146857331822704,-0.5825341995013164,-0.6124329059742144,-0.5394548028664105,-0.6435946089143172,-0.6523915638087296,-0.5453811006059172,-0.5772640595294136,-0.7450014899512472,-0.5362080062759716,-0.5166510080339107,-0.6460876404152069,-0.5371688572949329,-0.7833012664088933,-0.6702879082891467,-0.670312610901945,-0.677517034997437,-0.1873519265491396,-0.4160293580703955,-0.5610369784158481,-0.5458764883045771,-0.6511781264199664,-0.5744466077653767,-0.6305201264482914
Aluminium,-0.6117098788831179,-0.646913546141029,-0.5987306850669346,-0.6447466153185559,-0.5762433898147863,-0.6709039744362136,-0.6792568366973797,-0.5751232476462862,-0.6065147043063642,-0.7725404893967933,-0.5677408800896647,-0.5456003586870033,-0.6749055761936624,-0.5668474198428132,-0.8055693918718801,-0.6950632386157644,-0.6951836390887128,-0.6986269006999805,-0.2061245945743691,-0.44030853140263865,-0.5759708488333909,-0.5691128135808913,-0.6813376803486229,-0.6044518148950904,-0.6623989284702851
Copper,-0.4064949721729909,-0.5061384365321149,-0.5487383049401151,-0.5039316782788086,-0.436396655780802,-0.4579169683379061,-0.4639125514217169,-0.42824268099940466,-0.44725311110417676,-0.6276105707302142,-0.4196408405326671,-0.384697379075415,-0.5301015303064097,-0.4098092498806772,-0.694529862144085,-0.45286787510003257,-0.4537031710417951,-0.44087659358603737,-0.07112792240661588,-0.24776580752235627,-0.2782271517349976,-0.3906459858308514,-0.5630136571320544,-0.44143034724236563,-0.5107286090453654
Fiberglass,-0.467860867649501,-0.4966528952228033,-0.5954501889205044,-0.49405938242882336,-0.43736070732657834,-0.538053508076807,-0.5482419819510496,-0.4239586013811719,-0.4552130775868287,-0.6878816765333544,-0.4134132196770252,-0.39478199708231526,-0.5392070967088528,-0.41912710817868143,-0.7024527963970497,-0.573402377735579,-0.5732679103490215,-0.5859331504013773,-0.14583538865346163,-0.3156338040938246,-0.4730272800332836,-0.4261070394338741,-0.5396511221737275,-0.45513278486406367,-0.5122234862466195
HDPE,0.12557838617795905,0.012452163126969769,0.0526338919457027,0.011910041241792346,0.06802487426334645,0.11789099354873803,0.11863655608268173,0.058337855113541504,0.03435889817744231,0.040172513250566436,0.06767505906644959,0.10057959731488213,-0.0038997880419321712,0.05728070559926508,-0.11149561386307996,0.16801435345989946,0.16616992244959758,0.21744358317803056,0.058061734107667705,0.16413147883885784,0.3943935348721835,0.06856725719557998,-0.06135649399476424,0.06465890316769068,0.004465695563523494
PVC,0.12557838617795905,0.012452163126969769,0.0526338919457027,0.011910041241792346,0.06802487426334645,0.11789099354873803,0.11863655608268173,0.058337855113541504,0.03435889817744231,0.040172513250566436,0.06767505906644959,0.10057959731488213,-0.0038997880419321712,0.05728070559926508,-0.11149561386307996,0.16801435345989946,0.16616992244959758,0.21744358317803056,0.058061734107667705,0.16413147883885784,0.3943935348721835,0.06856725719557998,-0.06135649399476424,0.06465890316769068,0.004465695563523494
PP,0.12557838617795905,0.012452163126969769,0.0526338919457027,0.011910041241792346,0.06802487426334645,0.11789099354873803,0.11863655608268173,0.058337855113541504,0.03435889817744231,0.040172513250566436,0.06767505906644959,0.10057959731488213,-0.0038997880419321712,0.05728070559926508,-0.11149561386307996,0.16801435345989946,0.16616992244959758,0.21744358317803056,0.058061734107667705,0.16413147883885784,0.3943935348721835,0.06856725719557998,-0.06135649399476424,0.06465890316769068,0.004465695563523494
Epoxy resin,-0.3259228414099519,-0.3656744668106848,-0.5368347585009546,-0.36305321118790435,-0.2865440674444772,-0.40114495017708723,-0.41164690080902017,-0.2774105773639904,-0.31864186232459596,-0.6194225692625028,-0.26712234146517067,-0.24034470806501054,-0.4079750683264893,-0.2812773574825192,-0.5636647625755924,-0.42982528529203184,-0.4299767647506264,-0.43506582361758456,0.010085082985935719,-0.13932648446791843,-0.328766175363473,-0.2900401425916457,-0.41737907375069655,-0.3145039640256775,-0.386715351190816
