,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),8.827725118593565e-25,3.209837890260917e-26,3.468399734478429e-25,3.0634449315418634e-26,1.4665838030590327e-24,5.978072469327285e-24,4.089500194179148e-24,3.7214202307546208e-25,2.125725223630622e-26,5.019941050668719e-27,1.6934290546445065e-25,2.3545718165000326e-25,6.246450329659053e-26,1.4279179850735537e-24,1.0735057492091888e-26,2.929556991909199e-26,2.780129513976669e-26,1.6024743147644494e-18,3.933540238741398e-28,2.0888697320855866e-22,3.6335532093616166e-20,6.879034681272348e-25,9.106447748216389e-26,3.5974058225907313e-25,2.3579737794349986e-27
Steel (chromium),1.143042842576244e-24,1.2264169587056844e-25,3.897496111110636e-27,1.9005690110413459e-25,4.861692159646216e-25,2.712414274945815e-26,1.308975704033981e-25,4.2342594246507154e-26,4.944229464535916e-25,2.0121607179749218e-26,6.5071841425302695e-25,3.0801081479615e-25,1.1212417890282724e-26,1.0628155806872042e-23,1.3181811475666376e-25,2.448267154010423e-25,1.6168770834664747e-25,5.406683700455799e-23,5.154208516020279e-26,3.5586359877573754e-15,7.30158118213762e-23,1.0158642758160794e-24,6.661752176441445e-26,9.691991445599974e-26,3.607414975612956e-24
Cast iron,7.4202270242977615e-22,1.912324922816595e-23,6.501155706471065e-25,1.105404010015359e-23,8.7827628188295e-23,3.860343594286254e-22,1.2135557597843187e-21,2.191402218991785e-23,1.042956998844601e-22,2.1971205099206906e-22,1.6905500915536487e-23,5.862817731369441e-24,7.704394670329865e-26,3.630612530907994e-23,1.1226129186248797e-22,4.513306152666458e-23,1.6729015601977905e-22,3.613655281455384e-21,8.140549073244553e-22,1.0,1.1980434469972292e-21,1.5569062280606133e-23,9.89617952590304e-25,2.0896797439090086e-24,3.981603964852569e-22
Aluminium,1.5312195498773674e-26,2.904222536364499e-26,2.2781697310472566e-25,2.848978852388334e-26,3.852820151240433e-22,5.2782385581556746e-27,2.9168491731207854e-26,1.8487002580321078e-26,3.647162521749833e-26,2.052714770412656e-26,1.810648112673565e-26,9.98626045281418e-26,5.268707472089266e-27,3.89485049450154e-27,5.215871395381204e-28,9.536225423502295e-27,1.3885853971219394e-27,1.8361701982192e-25,8.699907677696224e-24,0.9999999999999997,6.638763065363918e-26,1.2273402491050234e-26,4.426020520179813e-26,3.345383549498905e-26,3.451268727605143e-27
Copper,9.282837076627659e-26,1.0462639713439853e-21,1.9243668113443856e-23,7.72604622416757e-22,4.3450862085743946e-24,7.308473650738824e-25,8.020403656840028e-24,2.4159982029805144e-22,4.224217027478399e-23,2.749323092903431e-26,5.0662295594598614e-23,7.389588855047584e-23,1.7872702346869209e-23,4.622255994162792e-23,2.2039244073187264e-26,1.3429874624602796e-28,1.1713846573839344e-28,9.935688188279167e-26,9.620375654500405e-23,9.195653183430471e-29,5.350062738421078e-26,1.1895342151518218e-21,2.754726351404807e-24,9.760210499966781e-23,8.885737028499174e-23
Fiberglass,1.2829605783308287e-26,1.0939055155885555e-27,4.204280786316501e-25,2.5661678307510974e-27,2.995299599259919e-26,4.3509341182755906e-26,4.551144709588408e-25,1.024623270602827e-26,9.177072322345647e-27,1.507163041400812e-26,5.137794635162528e-27,1.7438502872702642e-26,8.604697003689161e-27,5.075558849209007e-24,8.483922727925247e-24,4.581634842732146e-24,7.034618512836805e-24,5.43923327428691e-23,2.0141979564974653e-25,3.5000745102206932e-22,7.605538700804104e-23,1.078070180962196e-25,2.2644064832918428e-24,4.105696733504373e-27,5.033117781179805e-25
HDPE,2.952265699822414e-25,2.511006551901758e-24,1.5353538042275325e-19,8.184511893790737e-24,1.2517418123405223e-21,6.135345461384807e-26,3.072757457885895e-26,5.897680089299298e-23,3.2333464986189996e-22,1.7415727627929233e-26,1.0702855279419735e-22,1.568046318101546e-23,2.7602903537592437e-24,1.772155510086018e-20,4.9997330461319724e-23,2.785616971746812e-29,2.491311429914055e-29,9.658637704054467e-29,1.9298190624029492e-23,2.333584677472759e-24,3.249610613429675e-28,1.372516284005758e-22,1.657074513730754e-23,3.330291474002997e-23,7.1676231302436815e-22
PVC,2.1576548519360697e-25,1.9861337637219402e-24,3.5942454364146477e-20,7.143230370842869e-26,2.9485173507539423e-22,2.212576970319626e-25,8.373839076752873e-26,1.6460773361781846e-23,6.556280849284786e-24,6.766920586138678e-25,2.2342206905014235e-23,2.751258371849342e-23,1.5416826717535153e-24,1.3949774193562383e-20,3.423653767936724e-21,8.915386845516336e-25,1.3127224352558578e-24,2.279855743898637e-26,4.482005013304785e-24,1.288329762694502e-24,1.3396515989218277e-26,1.4541949196702232e-21,2.9013709431623394e-22,2.245482746339323e-23,2.0245115800305041e-22
PP,2.5705416290998366e-25,3.728804771850078e-23,3.088184775476771e-20,4.098913644441248e-25,1.5569501869551958e-22,2.237395456607078e-25,3.113693977886223e-26,2.829858558269001e-22,3.0261678666966275e-23,8.491640273340511e-24,1.7200966427185448e-24,5.733967526286715e-24,5.339228264742724e-24,5.462849913461239e-22,1.7821614929293373e-22,2.4724866536134255e-26,1.2738056793511903e-26,9.451742080346565e-27,8.295067421295272e-24,7.578386205642638e-26,6.3827642216065704e-27,3.38243738712247e-22,2.941165870891004e-22,1.3989939479882077e-23,3.186510854842353e-23
Epoxy resin,3.151760104093721e-29,3.463846130338438e-32,2.7667518154465737e-29,5.366926204453247e-32,2.5279655033101474e-28,6.286192827752023e-29,1.6874021304505692e-29,2.8845680753691053e-31,4.511878345489417e-31,3.135341902861229e-29,3.6180023970679264e-31,5.833555759427749e-31,9.46265028593076e-31,9.910142792555753e-30,6.939359344272966e-31,1.2549972835663999e-26,1.2704680637437039e-26,1.0609191564342116e-27,9.541806381060023e-29,1.1286730574011585e-27,4.738733384149484e-26,2.1421161216812666e-30,1.5282238165480329e-29,1.4248428859771068e-30,1.1617432341444087e-30
