,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Steel (chromium),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.506886802225757e-168,5.4763025566157e-311,0.0,0.0,0.0,0.0
Cast iron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2164811525898302e-236,0.0,0.0,0.0,0.0,0.0
Aluminium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.50848484779095e-107,1.459400675611099e-254,0.0,0.0,0.0,0.0
Copper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.298688662855207e-225,0.0,0.0,0.0,0.0,0.0
Fiberglass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.712645625134827e-292,0.0,0.0,0.0,0.0,0.0
HDPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.455131391512018e-210,0.0,0.0,0.0,0.0,8.360691501690136e-206,0.0,0.0,5.818356469864709e-262,0.0,0.0
PVC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.947417226197633e-211,0.0,0.0,0.0,0.0,5.269035828746219e-206,0.0,0.0,1.3730712783856334e-262,0.0,0.0
PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.364072724865e-211,0.0,0.0,0.0,0.0,4.255542273982791e-206,0.0,0.0,7.178373870286195e-263,0.0,0.0
Epoxy resin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lead,0.0,0.0,2.054896375625366e-186,0.0,3.0990412182675184e-202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5052870703851416e-207,9.627574008991095e-211,3.6756145948140016e-135,0.0,3.405044316423403e-176,3.4979542057335934e-89,0.0,0.0,0.0,3.784512706647758e-260
Tin,0.0,0.0,2.054896375625366e-186,0.0,3.0990412182675184e-202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5052870703851416e-207,9.627574008991095e-211,3.6756145948140016e-135,0.0,3.405044316423403e-176,3.4979542057335934e-89,0.0,0.0,0.0,3.784512706647758e-260
Lubricating oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.50848484779095e-107,1.459400675611099e-254,0.0,0.0,0.0,0.0
Rubber,5.3997446787209313e-08,3.6669364494637228e-56,7.691416761590057e-51,2.3224947906342323e-56,0.37689925035589306,1.1475651544101099e-07,5.261757285961814e-06,2.206127738619741e-63,2.4718807095317818e-27,1.1226927774188337e-24,3.6278372660649017e-37,4.651525861929032e-38,7.540590265327214e-17,2.4283540886664968e-09,1.6202803362202185e-94,1.2113436764283283e-10,3.2167657983175884e-10,2.786163391001354e-24,2.9295321689493812e-09,6.322495000565843e-52,2.030509850906346e-60,1.992539736630422e-51,1.138215486793971e-30,2.0750524135478644e-34,5.970422165475662e-30
Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reinforcing steel (rebar),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6364403273027816e-145,0.0,0.0,0.0,0.0,0.0
