,Acidification,Climate change (total),Climate change (biogenic),Climate change (fossil),Climate change (land use),"Ecotoxicity, freshwater","Ecotoxicity, freshwater (inorg.)","Ecotoxicity, freshwater (org.)",Fossil resource use,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Human toxicity, carcinogenic","Human toxicity, carc. (inorg.)","Human toxicity, carc. (org.)","Human toxicity, non-carc.","Human toxicity, non-carc. (inorg.)","Human toxicity, non-carc. (org.)",Ionising radiation,Land use,Mineral resource use,Ozone depletion,Particulate matter,Photochemical ozone formation,Water use
Steel (low-alloy),0.5350326351896492,0.6491965585153231,0.45174076559704146,0.6497085689303972,0.3947476931592166,0.5052167431743123,0.4947904252494071,0.6229188844908871,0.6164071034563795,0.5223969994741215,0.6330052101347529,0.6288398177116704,0.4763860966142789,0.363572126585097,0.6781218127015178,0.33297255537760584,0.33474174170948645,0.2891465383174054,0.5100591823116317,0.1831208320920026,0.19292426134123603,0.6101524012067656,0.6038092567063008,0.6196685075385944,0.6072442026362131
Steel (chromium),0.4070550117325953,0.4930233968141403,0.3039457485124531,0.49351105677113866,0.27802818401134155,0.3786301699317798,0.37022802515714426,0.4742927114273013,0.46594965386244946,0.38305183368507567,0.48107116153833485,0.4777523131675889,0.32248713203831303,0.2224491883470113,0.5202403860223292,0.24909156407104055,0.2500706297073543,0.22390787975191903,0.394426474131995,0.10258774958408957,0.13963596383122195,0.4658681274596181,0.4605345182949589,0.47025989103381677,0.46946816535215286
Cast iron,0.44197835117243217,0.5360305389759074,0.3267733851695662,0.5365607113675589,0.3084576373082765,0.411602538390256,0.4026145983695923,0.5136825304853052,0.5091612640539057,0.41120354638345946,0.523175589999703,0.51892290175673,0.36314286585248184,0.2600273813745005,0.5623808034290002,0.26930210688626854,0.27051902941273587,0.2385544953697441,0.43096446151108936,0.12181698341897278,0.15059159637378886,0.5066554636474033,0.5006636093757273,0.5109650836773242,0.5121266431386166
Aluminium,0.3680632630548652,0.4467035433080104,0.2783113695451593,0.44714911049345907,0.2462245132716531,0.3413266448661483,0.33349791218126934,0.43142628949109,0.4192533542322214,0.35059402742314205,0.4355595982745475,0.4328763444975745,0.27494861677191396,0.17698451373056734,0.47480949766831276,0.22557406328367663,0.226289055577414,0.2066070972365519,0.3531262337457791,0.08161804083125468,0.12634986872064263,0.4208076738843343,0.41729934225863985,0.42593252600525694,0.42364389272032504
Copper,0.5074042957028524,0.388725916526128,0.28100014153663844,0.3890152865426285,0.22748892668938725,0.5025256086708708,0.5073516288885768,0.3752880232616109,0.382280126873894,0.4963640861800744,0.4115743523538187,0.4309062824054092,0.2181268292409466,0.19112909892150107,0.2758573452058377,0.5490331573269943,0.5474202010586294,0.582149867287175,0.2910347101602858,0.1188321194835049,0.5361473235129589,0.46471928467526413,0.2639230475392484,0.4101659894254407,0.38746005422954954
Fiberglass,0.4675257875495922,0.5668585942910117,0.34167770326949537,0.5674195123638617,0.3300030915979778,0.43511665611363604,0.42570752409530765,0.5417921648813389,0.5409889358890233,0.4306854284710439,0.5536273656675973,0.5481403157389577,0.3917096485086884,0.2863211001063461,0.5915560335163286,0.2837757942967436,0.28515329403710427,0.24927047616007655,0.45887922432310835,0.13526632257955054,0.15850801916440724,0.5350141574313134,0.5295895773814259,0.5399251546477633,0.5446822785035402
HDPE,0.4827745057097737,0.2809015228790695,0.23145874731343397,0.28105716790451685,0.16478453643014296,0.4931187085194879,0.5042450156154408,0.27221545977253264,0.2856843023990506,0.47918743736465025,0.3161863462188184,0.34418636757743987,0.14723871809872874,0.16551077236552575,0.11475945532365268,0.6234761297547219,0.6208132529210313,0.6809022117109654,0.19581863605932595,0.11358207460865333,0.6631862898413243,0.3998724579253714,0.12817332036399728,0.32003058449461547,0.28936685102806226
PVC,0.482848940876109,0.28101011078129196,0.23137654894051854,0.281166179273817,0.16484817789233153,0.4932007874231191,0.5043246345649078,0.2723107075628435,0.2857872912703838,0.47919816963710327,0.31628420466178686,0.3443050737337856,0.14745806550954782,0.16572941748161543,0.11495036215254213,0.623472645375711,0.6208116203887836,0.6808565574563518,0.19600419814725875,0.11363759779066292,0.6631140089769686,0.4000105033252927,0.12832663220670823,0.3201510480049255,0.28943055176264976
PP,0.48288225830032927,0.2810584896504457,0.23133917741134472,0.28121474539993235,0.16487789882194984,0.4932376703005787,0.5043604321212455,0.2723533733523724,0.28583352974618953,0.47920215141608774,0.3163279449891785,0.34435807188242473,0.1475566066761789,0.16582778729176123,0.11503564006909671,0.6234714466150384,0.6208112465700047,0.6808365459876183,0.19608893394928445,0.1136632789078558,0.6630822636072187,0.4000720721226952,0.12839543118867375,0.32020488448443946,0.28945955823334335
Epoxy resin,0.538944106560814,0.6535435489995631,0.454529979059568,0.6540590739578221,0.39809403685392897,0.508797229329479,0.4982805774874313,0.6274581305379382,0.62114142243666,0.5253285684262886,0.637486216974826,0.6328706890944559,0.47852338867244604,0.36514658765881053,0.6816762879875746,0.3351954140808405,0.33696643935341797,0.2913111366073383,0.5135553606410009,0.18493669790830405,0.19446156639953124,0.6141938048368376,0.6075474409956062,0.6236580941270761,0.6128410644561653
Lead,-0.15232137428405113,-0.1654204326316446,-0.10807477880239372,-0.16551668216469162,-0.11258910188501767,-0.1547389851839588,-0.15354955019923477,-0.1548270795504436,-0.15474049728510494,-0.15323186959857155,-0.16219070076409461,-0.17470945905152233,-0.19903481757733144,-0.18728681449258047,-0.1874728725420948,-0.11400321853902388,-0.11494165605859058,-0.09190823839175337,-0.14692812865738347,-0.10505356888538454,-0.07442833732840712,-0.17519101819331376,-0.16698452033290204,-0.17242878429747815,-0.1277289683970504
Tin,-0.15232137428405113,-0.1654204326316446,-0.10807477880239372,-0.16551668216469162,-0.11258910188501767,-0.1547389851839588,-0.15354955019923477,-0.1548270795504436,-0.15474049728510494,-0.15323186959857155,-0.16219070076409461,-0.17470945905152233,-0.19903481757733144,-0.18728681449258047,-0.1874728725420948,-0.11400321853902388,-0.11494165605859058,-0.09190823839175337,-0.14692812865738347,-0.10505356888538454,-0.07442833732840712,-0.17519101819331376,-0.16698452033290204,-0.17242878429747815,-0.1277289683970504
Lubricating oil,0.3680632630548652,0.4467035433080104,0.2783113695451593,0.44714911049345907,0.2462245132716531,0.3413266448661483,0.33349791218126934,0.43142628949109,0.4192533542322214,0.35059402742314205,0.4355595982745475,0.4328763444975745,0.27494861677191396,0.17698451373056734,0.47480949766831276,0.22557406328367663,0.226289055577414,0.2066070972365519,0.3531262337457791,0.08161804083125468,0.12634986872064263,0.4208076738843343,0.41729934225863985,0.42593252600525694,0.42364389272032504
